Name,ID,DatesInOffice,Bio,ImageFileName,Terms,TimeInOfficeDays,AgeAtPM,TimeAsMPYears,Majority,Peerage,,years,days,total days
William Gladstone,30,1868-1874; 1880-1885; 1886; 1892-1894,"Intense and moralistic, he reshaped Liberal politics with reform and finance, Irish Home Rule battles, and repeated premierships that embodied Victorian earnestness. ",30_William_Gladstone.png,"""1892-08-15 to 1894-03-05; 1880-04-23 to 1885-06-08; 1868-12-03 to 1874-02-17""",4516,58,62,418,None,,12,126,4516
Robert Gascoyne-Cecil,31,1885-1886; 1886-1892; 1895-1902,"Aristocratic and cautious, he was defined by foreign policy mastery, imperial influence, and party control, shaping Britain's stance abroad more than domestic reform.",31_Robert_Gascoyne-Cecil.png,"""1894-03-05 to 1895-06-25""",4872,55,39,402,Marquess,,13,252,4872
Archibald Primrose,32,1894-1895,"Aristocratic and ambitious, he briefly led Liberals with imperial vision and reformist rhetoric, defined by foreign policy flair, party disunity, and a short premiership that left limited lasting mark. ",32_Archibald_Primrose.png,"""1895-06-25 to 1902-07-11; 1886-08-03 to 1892-08-11""",474,46,15,272,Earl,,1,109,474
Arthur Balfour,33,1902-1905,"Intellectual and aloof, he led Conservatives with cautious reform and foreign policy skill, defined by the 1902 Education Act, tariff debates, and the Balfour Declaration linking Britain to Zionism. ",33_Arthur_Balfour.png,"""1902-07-11 to 1905-12-05""",1249,54,28,402,None,,3,145,1249
Henry Campbell-Bannerman,34,1905-1908,"Genial and reform- minded, he led Liberals with social progress and peace abroad, defined by free trade, early welfare measures, and granting self?government to Boer colonies.",34_Henry_Campbell-Bannerman.png,"""1905-12-05 to 1908-04-05""",846,69,40,397,None,,2,120,846
H. H. Asquith,35,1908-1916,"Calm and lawyerly, he led Liberals through reform and war, defined by welfare foundations, Irish Home Rule struggles, and wartime leadership that faltered amid coalition pressures. ",35_H_H_Asquith.png,"""1908-04-05 to 1916-12-07""",3170,55,32,397,Earl,,8,244,3170
David Lloyd George,36,1916-1922,"Dynamic and radical, he drove Liberal reform and wartime leadership, defined by welfare foundations, coalition politics, and victory in WWI, leaving a legacy of social change and controversy. ",36_David_Lloyd_George.png,"""1916-12-07 to 1922-10-23""",2143,53,55,283,None,,5,317,2143
Andrew Bonar Law,37,1922-1923,"Plain-spoken and pragmatic, he led through postwar turmoil, defined by brief premiership, industrial strife, and managing Ireland's settlement, known as the ""unknown Prime Minister"" for his short tenure.",37_Andrew_Bonar_Law.png,"""1922-10-23 to 1923-05-22""",209,64,26,344,None,,0,209,209
Stanley Baldwin,38,1923-1924; 1924-1929; 1935-1937,"Pragmatic and reassuring, he led in interwar Britain, defined by three premierships, party management, and guiding through economic strain, abdication crisis, and appeasement. ",38_Stanley_Baldwin.png,"""1929-06-05 to 1935-06-07; 1924-01-22 to 1924-11-04""",3013,55,27,470,Earl,,8,123,3013
Ramsay MacDonald,39,1924; 1929-1935,"Dynamic and radical, he drove Liberal reform and wartime leadership, defined by welfare foundations, coalition politics, and victory in WWI, leaving a legacy of social change and controversy. ",39_Ramsay_MacDonald.png,"""1935-06-07 to 1937-05-28; 1924-11-04 to 1929-06-05; 1923-05-22 to 1924-01-22""",2480,57,34,492,None,,6,289,2480
Neville Chamberlain,40,1937-1940,"Practical and dutiful, he led before World War II, defined by appeasement to Hitler, home reforms efforts, and resignation after war began, remembered for Munich and failed peace. ",40_Neville_Chamberlain.png,"""1937-05-28 to 1940-05-10""",1078,68,18,429,Earl,,2,348,1078
Winston Churchill,41,1940-1945; 1951-1955,"Defiant and eloquent, he led through WWII. Defined by stirring oratory, steadfast resistance, and alliance?building. Remembered for victory, reform, and later return to office in the Cold War. ",41_Winston_Churchill.png,"""1951-10-26 to 1955-04-07; 1940-05-10 to 1945-07-26""",3246,65,64,321,Knighthood,,8,321,3246
Clement Attlee,42,1945-1951,"Modest and steady, he led Labour after World War II, defined by welfare state creation, nationalisation, and guiding Britain through postwar recovery and imperial retreat.",42_Clement_Attlee.png,"""1945-07-26 to 1951-10-26""",2284,62,33,393,Earl,,6,92,2284
Anthony Eden,43,1955-1957,"Elegant and determined, he was defined by foreign policy skill, wartime diplomacy, Cold War tensions, Middle East policies, NATO ties, and the Suez Crisis that overshadowed his brief premiership. ",43_Anthony_Eden.png,"""1955-04-07 to 1957-01-10""",648,57,33,345,Earl,,1,278,648
Harold Macmillan,44,1957-1963,"Confident and urbane, he presided over affluence, decolonisation, nuclear diplomacy, Cold War strategy, Britain's first bid for Europe, and the Profumo Affair that discredited his government. ",44_Harold_Macmillan.png,"""1957-01-10 to 1963-10-18""",2476,62,26,365,Earl,,6,281,2476
Alec Douglas-Home,45,1963-1964,"Reserved and pragmatic, he rose unexpectedly, defined by cautious leadership, foreign policy focus, Cold War diplomacy, and renouncing his peerage to serve in the Commons.",45_Alec_Douglas-Home.png,"""1963-10-18 to 1964-10-16""",363,60,2,303,Baron,,0,363,363
Harold Wilson,46,1964-1970; 1974-1976,"Shrewd and modernising, he led Labour through four elections, social reform, economic turbulence, industrial strife, Europe's entry debates, the 1975 referendum, and Cold War diplomacy",46_Harold_Wilson.png,"""1974-03-04 to 1976-04-05; 1964-10-16 to 1970-06-19""",2646,48,38,364,None,,7,186,2646
Edward Heath,47,1970-1974,"Pragmatic yet embattled, he led Britain into Europe, defined by industrial unrest, economic U?turns, miners' strikes, Northern Ireland conflict, the three?day week, and spiralling inflation.",47_Edward_Heath.png,"""1970-06-19 to 1974-03-04""",1358,53,51,330,Knighthood,,3,258,1358
James Callaghan,48,1976-1979,"Pragmatic and steady, he held all four great offices of state, defined by industrial unrest, the IMF crisis, economic turbulence, foreign policy steadiness and the Winter of Discontent. ",48_James_Callaghan.png,"""1976-04-05 to 1979-05-04""",1125,64,45,319,Baron,,3,29,1125
Margaret Thatcher,49,1979-1990,"The first female Prime Minister, she was resolute and transformative. She led Britain through privatisation, deregulation, union confrontation, Cold War resolve, the Falklands War, and deep social division.",49_Margaret_Thatcher.png,"""1979-05-04 to 1990-11-28""",4204,53,33,397,Baroness,,11,208,4204
John Major,50,1990-1997,"Measured and pragmatic, he rose from humble origins, defined by recession and recovery, Maastricht and Europe's divisions, Northern Ireland peace efforts, and party turmoil.",50_John_Major.png,"""1990-11-28 to 1997-05-02""",2343,47,22,336,Knighthood,,6,155,2343
Tony Blair,51,1997-2007,"Charismatic and reformist, he led Labour's landslide victories, defined by New Labour modernisation, social investment, Northern Ireland peace, European engagement, and the Iraq War. ",51_Tony_Blair.png,"""1997-05-02 to 2007-06-27""",3707,43,24,418,Knighthood,,10,56,3707
Gordon Brown,52,2007-2010,"Serious and driven, he served a decade as Chancellor, defined by economic stewardship, social reform, foreign policy challenges, the global financial crisis, and the independence of the Bank of England.",52_Gordon_Brown.png,"""2007-06-27 to 2010-05-11""",1045,56,32,355,None,,2,318,1045
David Cameron,53,2010-2016,"Confident and pragmatic, he modernised the Conservatives, defined by coalition government, austerity, foreign policy interventions, Scottish and Brexit referendums.",53_David_Cameron.png,"""2010-05-11 to 2016-07-13""",2260,43,15,330,Baron,,6,63,2260
Theresa May,54,2016-2019,"Determined and cautious, she sought to deliver Brexit, defined by minority government, a hostile environment, austerity legacy, party divisions, Brexit deadlock, and the Grenfell tragedy. ",54_Theresa_May.png,"""2016-07-13 to 2019-07-24""",1106,59,27,317,None,,3,11,1106
Boris Johnson,55,2019-2022,"Flamboyant and opportunistic, he championed Brexit, defined by COVID-19 pandemic, populist appeal, proroguing of Parliament, and ethics scandals, which forced his resignation.",55_Boris_Johnson.png,"""2019-07-24 to 2022-09-06""",1136,55,21,365,None,,3,44,1136
Liz Truss,56,2022,"Ideological and unyielding, she pursued radical tax?cutting reform, which caused market turmoil, collapsing authority, party revolt, and the shortest term in British history.",56_Liz_Truss.png,"""2022-09-06 to 2022-10-25""",49,47,12,365,None,,0,49,49
Rishi Sunak,57,2022-2024,"Pragmatic and technocratic, he sought stability after Johnson and Truss, defined by economic caution, inflation pressures, party divisions, and ongoing leadership fragility. ",57_Rishi_Sunak.png,"""2022-10-25 to 2024-07-05""",619,42,7,365,None,,1,254,619
Kier Starmer,58,2024-Present,"Cautious and managerial, he promised national renewal, defined by economic restraint, inflation worries, immigration, the Ukraine/Russian war, party unease, and record?low approval ratings.",58_Kier_Starmer.png,"""2024-07-05 to present""",,61,10,411,Knighthood,,,,
